gene_name,gene_id,max_score,avg_score,sum_score,snp_count,min_p,n_sig,top_snps,support,GRASS_score,rank,rank_max,disease
JAZF1,ENSG00000153814,0.1334079574253004,0.061721851027314645,0.3086092551365732,5,2.019e-08,5,"rs4722760,rs67250450,rs9648346,rs4722758,rs2893312",0.30190251252507794,0.21189585192156274,136,126,AD
EED,ENSG00000074266,0.1213819116647566,0.05794679860635127,0.3476807916381076,6,4.205e-33,6,"rs10792831,rs7941541,rs3844143,rs9787874,rs3851178",0.32787613138774163,0.2078052815959524,137,141,AD
NDUFAF6,ENSG00000156170,0.0319829974236106,0.015420462435915461,0.5242957228211257,34,1.819e-09,34,"rs34636042,rs13276936,rs13278601,rs13281709,rs34017741",0.5990583731237427,0.20595260463947068,138,239,AD
CEA,ENSG00000267881,0.1736299794178681,0.1736299794178681,0.1736299794178681,1,8.96004e-09,1,rs1274623634,0.11679183448148775,0.2025839606171557,139,101,AD
CEACAM5,ENSG00000105388,0.1736299794178681,0.1736299794178681,0.1736299794178681,1,8.96004e-09,1,rs1274623634,0.11679183448148775,0.2025839606171557,139,101,AD
TREML2,ENSG00000112195,0.1005218860526923,0.029091429046144125,0.232731432369153,8,3.268e-12,8,"rs3857580,rs9394766,rs9394767,rs3800342,rs9369267",0.3702213560871803,0.20042368818758577,141,159,AD
SUPT4H1,ENSG00000213246,0.1710581436967761,0.1710581436967761,0.1710581436967761,1,4.107e-08,1,rs2526377,0.11679183448148775,0.2001022357196191,142,104,AD
RNF43,ENSG00000108375,0.1710581436967761,0.1710581436967761,0.1710581436967761,1,4.107e-08,1,rs2526377,0.11679183448148775,0.2001022357196191,142,104,AD
BZRAP1,ENSG00000005379,0.1710581436967761,0.1710581436967761,0.1710581436967761,1,4.107e-08,1,rs2526377,0.11679183448148775,0.2001022357196191,142,104,AD
SCIMP,ENSG00000161929,0.0804817074673565,0.02961203420696407,0.3257323762766048,11,6.585e-13,11,"rs57402520,rs113762960,rs7502862,rs77972827,rs73976325",0.4186943470065657,0.19598084078312072,145,190,AD
PLAUR,ENSG00000011422,0.1486635863047916,0.10011142394903945,0.2002228478980789,2,1.2735e-14,2,"rs368745,rs139552503",0.18511067804359016,0.1959410245394871,146,116,AD
NOVA2,ENSG00000104967,0.1237375377831491,0.09441865757660872,0.3776746303064349,4,1.24595e-23,4,"rs147775460,rs188404818,rs141512392,rs140638562",0.271182241736001,0.19502558343907112,147,138,AD
PSG8,ENSG00000124467,0.1332873532876634,0.09185661819143705,0.27556985457431116,3,1.8505e-08,3,"rs192417281,rs1431055149,rs188304725",0.2335836689629755,0.19402232927436702,148,127,AD
HLA-DQA2,ENSG00000237541,0.098800594522657,0.04381860794440753,0.3067302556108527,7,3.187e-10,7,"rs3997854,rs9275614,rs9275618,rs9275609,rs9275608",0.3503755034444632,0.19352805314204952,149,169,AD
HLA-DQB2,ENSG00000232629,0.098800594522657,0.04381860794440753,0.3067302556108527,7,3.187e-10,7,"rs3997854,rs9275614,rs9275618,rs9275609,rs9275608",0.3503755034444632,0.19352805314204952,149,169,AD
CEACAM19,ENSG00000186567,0.1635263324804683,0.1635263324804683,0.1635263324804683,1,7.093e-15,1,rs186110295,0.11679183448148775,0.19283432071798756,151,112,AD
RELB,ENSG00000104856,0.1102403844906003,0.0771133247172276,0.38556662358613797,5,6.795000000000001e-32,5,"rs7245887,rs148851376,rs34415122,rs7251911,rs188643879",0.30190251252507794,0.1908265835302908,152,154,AD
TREM1,ENSG00000124731,0.1005218860526923,0.04570571313772851,0.2742342788263711,6,1.729e-11,6,"rs3857580,rs4714447,rs11755124,rs9369267,rs10947952",0.32787613138774163,0.18899710733338795,153,159,AD
TMEM259,ENSG00000182087,0.1402894673549,0.08519545158145216,0.1703909031629043,2,8.04312e-10,2,"rs3795065,rs545725335",0.18511067804359016,0.18803194724064515,154,119,AD
AP2S1,ENSG00000042753,0.0987581825092986,0.08773840965853598,0.5264304579512159,6,2.5633e-11,6,"rs183359830,rs117409811,rs532692678,rs76505653,rs533944662",0.32787613138774163,0.1874068866784111,155,171,AD
CELF1,ENSG00000149187,0.0531673241752031,0.023022060797224856,0.322308851161148,14,1.274e-09,14,"rs12292911,rs7933019,rs11600581,rs60075622,rs7106956",0.4562929197795912,0.182777238033649,156,216,AD
NCR2,ENSG00000096264,0.1508339313948141,0.1508339313948141,0.1508339313948141,1,2.036e-11,1,rs182420021,0.11679183448148775,0.18058663027436386,157,115,AD
IRGC,ENSG00000124449,0.1486635863047916,0.1486635863047916,0.1486635863047916,1,1.7004e-09,1,rs139552503,0.11679183448148775,0.17849232875969784,158,116,AD
SMG9,ENSG00000105771,0.1486635863047916,0.1486635863047916,0.1486635863047916,1,1.7004e-09,1,rs139552503,0.11679183448148775,0.17849232875969784,158,116,AD
POLR2E,ENSG00000099817,0.1295794059555144,0.07984042088175936,0.1596808417635187,2,8.04312e-10,2,"rs3795065,rs559324022",0.18511067804359016,0.17791664985951816,160,132,AD
IGFL2,ENSG00000204866,0.0736851378749599,0.0688048117208031,0.5504384937664248,8,5.84386e-17,8,"rs73048053,rs111511040,rs34896854,rs11881956,rs7252034",0.3702213560871803,0.1765676012008524,161,203,AD
OPLAH,ENSG00000178814,0.1264115557289811,0.11340656844659261,0.22681313689318522,2,3.503e-08,2,"rs61732533,rs60394484",0.18511067804359016,0.17492472050399713,162,136,AD
ZNF180,ENSG00000167384,0.1252838867076139,0.1000585505512212,0.2001171011024424,2,5.37403e-33,2,"rs1661184,rs149817049",0.18511067804359016,0.1738596745557761,163,137,AD
SLC1A5,ENSG00000105281,0.0987581825092986,0.09151475549407012,0.3660590219762805,4,2.5633e-11,4,"rs183359830,rs117409811,rs532692678,rs533944662",0.271182241736001,0.1720784154333055,164,171,AD
ZNF223,ENSG00000178386,0.1375984942668621,0.1375984942668621,0.1375984942668621,1,1.17951e-42,1,rs75006290,0.11679183448148775,0.16781493044111323,165,124,AD
ARID3A,ENSG00000116017,0.1370741197182782,0.1370741197182782,0.1370741197182782,1,3.7258e-09,1,rs181925026,0.11679183448148775,0.1673089286921747,166,125,AD
ARHGAP35,ENSG00000160007,0.0838192615153639,0.08023138266373896,0.4011569133186948,5,2.90289e-10,5,"rs145612958,rs76505653,rs137966138,rs147079386,rs181537813",0.30190251252507794,0.1667984415780418,167,188,AD
IRF2BP1,ENSG00000170604,0.0907735664415951,0.08273308970802445,0.3309323588320978,4,1.6857800000000002e-23,4,"rs753105075,rs188404818,rs141512392,rs139248897",0.271182241736001,0.1647433851909943,168,177,AD
NANOS2,ENSG00000188425,0.0907735664415951,0.08273308970802445,0.3309323588320978,4,1.6857800000000002e-23,4,"rs753105075,rs188404818,rs141512392,rs139248897",0.271182241736001,0.1647433851909943,168,177,AD
MYPOP,ENSG00000176182,0.0907735664415951,0.08273308970802445,0.3309323588320978,4,1.6857800000000002e-23,4,"rs753105075,rs188404818,rs141512392,rs139248897",0.271182241736001,0.1647433851909943,168,177,AD
DOC2A,ENSG00000149927,0.0352215337666976,0.0161268068370257,0.2096484888813341,13,1.245e-11,13,"rs12325539,rs12325400,rs11642612,rs11150581,rs7191849",0.44466796586922935,0.16392335719501686,171,229,AD
ZNF229,ENSG00000167383,0.1138864471818328,0.11224468413485736,0.22448936826971472,2,1.71423e-08,2,"rs141069725,rs140989912",0.18511067804359016,0.16309517135756846,172,150,AD
CLASRP,ENSG00000104859,0.0877668473322356,0.06942479013214052,0.2776991605285621,4,1.02e-26,4,"rs148851376,rs34415122,rs7251911,rs74800719",0.271182241736001,0.1619812767301388,173,182,AD
FKRP,ENSG00000181027,0.0972991216959392,0.08910027982232731,0.2673008394669819,3,2.5633e-11,3,"rs183359830,rs117409811,rs532692678",0.2335836689629755,0.1605559766350481,174,173,AD
MME,ENSG00000196549,0.1300345174617707,0.1300345174617707,0.1300345174617707,1,3.622e-08,1,rs76207154,0.11679183448148775,0.16051597685413443,175,129,AD
SBNO2,ENSG00000064932,0.1295794059555144,0.1295794059555144,0.1295794059555144,1,1.78423e-08,1,rs559324022,0.11679183448148775,0.16007681134019094,176,132,AD
GPX4,ENSG00000167468,0.1295794059555144,0.1295794059555144,0.1295794059555144,1,1.78423e-08,1,rs559324022,0.11679183448148775,0.16007681134019094,176,132,AD
KLF16,ENSG00000129911,0.084397044851345,0.05256200167233835,0.2102480066893534,4,6.143e-09,4,"rs11666480,rs149080927,rs11668832,rs35917007",0.271182241736001,0.15888562342654083,178,187,AD
ZNF594,ENSG00000180626,0.0804817074673565,0.03337007541259593,0.13348030165038371,4,6.585e-13,4,"rs57402520,rs111996834,rs113607145,rs8081019",0.271182241736001,0.15528881703323516,179,190,AD
OARD1,ENSG00000124596,0.0915667039095709,0.08463783103446847,0.2539134931034054,3,8.352e-16,3,"rs188904277,rs146846084,rs189239172",0.2335836689629755,0.15522525860225034,180,175,AD
MS4A4A,ENSG00000110079,0.0559110622965798,0.03562975999495548,0.2494083199646884,7,2.415e-16,7,"rs7107627,rs3041800,rs201153362,rs58052419,rs11827324",0.3503755034444632,0.15514675334983508,181,214,AD
FOXA3,ENSG00000170608,0.0907735664415951,0.08342062600792699,0.25026187802378097,3,1.6857800000000002e-23,3,"rs753105075,rs188404818,rs139248897",0.2335836689629755,0.1544877003222031,182,177,AD
BBC3,ENSG00000105327,0.0876963535923329,0.07754396720484467,0.232631901614534,3,7.67096e-09,3,"rs983405585,rs192508783,rs150403341",0.2335836689629755,0.1516261234731941,183,183,AD
FAM57B,ENSG00000149926,0.028750511801215,0.015360331029578655,0.1689636413253652,11,1.985e-11,11,"rs11642430,rs4788218,rs11642740,rs4238959,rs11544328",0.4186943470065657,0.15074751287377042,184,245,AD
ARL17B,ENSG00000228696,0.0121002726807227,0.01085081478844055,0.1519114070381677,14,6.175e-09,14,"rs373695612,rs2732611,rs2696546,rs1488671301,rs2732705",0.4562929197795912,0.14733176798911518,185,272,AD
NFYA,ENSG00000001167,0.0915667039095709,0.0860518011581812,0.1721036023163624,2,1.462e-13,2,"rs146846084,rs189239172",0.18511067804359016,0.14201491492857274,186,175,AD
ZNF112,ENSG00000062370,0.1106029210878819,0.1106029210878819,0.1106029210878819,1,3.86162e-08,1,rs140989912,0.11679183448148775,0.14176521601646874,187,151,AD
CTC-512J12.6,ENSG00000267173,0.1106029210878819,0.1106029210878819,0.1106029210878819,1,3.86162e-08,1,rs140989912,0.11679183448148775,0.14176521601646874,187,151,AD
ZNF285,ENSG00000267508,0.1106029210878819,0.1106029210878819,0.1106029210878819,1,3.86162e-08,1,rs140989912,0.11679183448148775,0.14176521601646874,187,151,AD
SYMPK,ENSG00000125755,0.0907735664415951,0.08498255114282194,0.16996510228564388,2,1.6857800000000002e-23,2,"rs753105075,rs139248897",0.18511067804359016,0.14126582292494058,190,177,AD
SAE1,ENSG00000142230,0.0876963535923329,0.07711083126096994,0.1542216625219399,2,8.60379e-09,2,"rs192508783,rs180775969",0.18511067804359016,0.1383594975627818,191,183,AD
CCDC9,ENSG00000105321,0.0876963535923329,0.07698403284656885,0.1539680656931377,2,8.60379e-09,2,"rs192508783,rs150403341",0.18511067804359016,0.1383594975627818,191,183,AD
FDFT1,ENSG00000079459,0.1069197051900655,0.1069197051900655,0.1069197051900655,1,2.346e-08,1,rs200518989,0.11679183448148775,0.13821105098110154,193,155,AD
FAM131B,ENSG00000159784,0.1060665341620536,0.1060665341620536,0.1060665341620536,1,1.561e-08,1,rs11767557,0.11679183448148775,0.13738777297593602,194,156,AD
FAM63B,ENSG00000128923,0.0601922522553315,0.03713138335901095,0.1485255334360438,4,1.042e-11,4,"rs593742,rs572107,rs507801,rs474875",0.271182241736001,0.1366500038056099,195,209,AD
PSG6,ENSG00000170848,0.0856343785308264,0.07964885244605086,0.1592977048921017,2,4.64633e-09,2,"rs141657405,rs181732960",0.18511067804359016,0.13641203058179863,196,186,AD
MS4A6A,ENSG00000110077,0.027740810427731,0.022460524324705376,0.179684194597643,8,1.07e-14,8,"rs200025446,rs199902507,rs9667329,rs624663,rs662196",0.3702213560871803,0.1357261451172315,197,247,AD
POU2F2,ENSG00000028277,0.1038196148298606,0.1038196148298606,0.1038196148298606,1,2.97961e-08,1,rs181249565,0.11679183448148775,0.13521958019296465,198,157,AD
ECHDC3,ENSG00000134463,0.1017214986023646,0.1017214986023646,0.1017214986023646,1,4.654e-08,1,rs12358692,0.11679183448148775,0.13319497681841805,199,158,AD
KIAA1875,ENSG00000179698,0.1004015811642041,0.1004015811642041,0.1004015811642041,1,4.42e-08,1,rs60394484,0.11679183448148775,0.1319213060539476,200,162,AD
MAF1,ENSG00000179632,0.1004015811642041,0.1004015811642041,0.1004015811642041,1,4.42e-08,1,rs60394484,0.11679183448148775,0.1319213060539476,200,162,AD
PARP10,ENSG00000178685,0.1004015811642041,0.1004015811642041,0.1004015811642041,1,4.42e-08,1,rs60394484,0.11679183448148775,0.1319213060539476,200,162,AD
SPATC1,ENSG00000186583,0.1004015811642041,0.1004015811642041,0.1004015811642041,1,4.42e-08,1,rs60394484,0.11679183448148775,0.1319213060539476,200,162,AD
CYC1,ENSG00000179091,0.1004015811642041,0.1004015811642041,0.1004015811642041,1,4.42e-08,1,rs60394484,0.11679183448148775,0.1319213060539476,200,162,AD
GPAA1,ENSG00000197858,0.1004015811642041,0.1004015811642041,0.1004015811642041,1,4.42e-08,1,rs60394484,0.11679183448148775,0.1319213060539476,200,162,AD
EXOSC4,ENSG00000178896,0.1004015811642041,0.1004015811642041,0.1004015811642041,1,4.42e-08,1,rs60394484,0.11679183448148775,0.1319213060539476,200,162,AD
PPP5C,ENSG00000011485,0.077513606044145,0.06688353353942031,0.13376706707884062,2,5.56545e-16,2,"rs148774309,rs200602713",0.18511067804359016,0.12874223060549142,207,195,AD
PPP1R37,ENSG00000104866,0.0767818543718173,0.0567732712647772,0.1135465425295544,2,6.452e-24,2,"rs77401305,rs7251911",0.18511067804359016,0.12805111544763095,208,196,AD
ERCC2,ENSG00000104884,0.0764979788089845,0.0608916798632632,0.1217833597265264,2,3.1174499999999998e-25,2,"rs60152947,rs3916865",0.18511067804359016,0.12778300440417295,209,198,AD
IGFL3,ENSG00000188624,0.0501783200700835,0.049991288875902304,0.19996515550360922,4,1.72731e-08,4,"rs73046150,rs16980293,rs2041989,rs73046127",0.271182241736001,0.12745075179393825,210,225,AD
MADD,ENSG00000110514,0.0307931205118388,0.02566252688883705,0.1539751613330223,6,1.464e-10,6,"rs10617423,rs11601173,rs11607981,rs11601603,rs58369487",0.32787613138774163,0.12612706116012784,211,240,AD
WNT3,ENSG00000108379,0.0145960736400065,0.011820204325924025,0.0945616346073922,8,4.359e-09,8,"rs199525,rs199515,rs199498,rs199516,rs199514",0.3702213560871803,0.12404134701319511,212,269,AD
HS3ST5,ENSG00000249853,0.0554802222696248,0.04356783642097894,0.1307035092629368,3,3.235e-08,3,"rs976271,rs9374457,rs1028299",0.2335836689629755,0.12166754079673134,213,215,AD
USP6,ENSG00000129204,0.0181672522272344,0.017484207769804885,0.1223894543886342,7,1.518e-10,7,"rs111996834,rs113607145,rs55756850,rs61745111,rs61740308",0.3503755034444632,0.12137029521697743,214,265,AD
GNPNAT1,ENSG00000100522,0.0217287808107556,0.018581654197785666,0.111489925186714,6,9.392e-09,6,"rs2025632,rs2357944,rs75762751,rs7146179,rs12587286",0.32787613138774163,0.11795431564947727,215,258,AD
TAS2R41,ENSG00000221855,0.0216885840293038,0.020356065128443866,0.1221363907706632,6,1.458e-10,6,"rs9640385,rs7799105,rs62474772,rs62474771,rs55881450",0.32787613138774163,0.11791807273758445,216,259,AD
NSF,ENSG00000073969,0.0207167606384343,0.01324277881545415,0.0794566728927249,6,3.131e-09,6,"rs199439,rs199535,rs169201,rs199448,rs199534",0.32787613138774163,0.11704184065485207,217,260,AD
ZNF222,ENSG00000159885,0.0277733964866941,0.02741541373912306,0.1370770686956153,5,2.42003e-09,5,"rs11672683,rs147649776,rs58422302,rs925866,rs10530916",0.30190251252507794,0.11582869279001104,218,246,AD
OPA3,ENSG00000125741,0.0635557767932467,0.05444068027368955,0.1088813605473791,2,8.20692e-10,2,"rs73942917,rs9789254",0.18511067804359016,0.11555952432558825,219,208,AD
GPR111,ENSG00000164393,0.0829541885385052,0.0829541885385052,0.0829541885385052,1,4.686e-13,1,rs1385742,0.11679183448148775,0.11508522732575095,220,189,AD
REXO1,ENSG00000079313,0.0251345380955798,0.02142224938345772,0.1071112469172886,5,2.114e-08,5,"rs11670190,rs11668832,rs11669862,rs11667638,rs35917007",0.30190251252507794,0.11342883779243934,221,252,AD
FBXO46,ENSG00000177051,0.0251030468993061,0.024797319074676062,0.1239865953733803,5,5.72348e-10,5,"rs6509233,rs34568773,rs12975617,rs4803849,rs8100587",0.30190251252507794,0.11340019877754887,222,253,AD
DACT3,ENSG00000197380,0.0795813391550182,0.0795813391550182,0.0795813391550182,1,1.00911e-09,1,rs535076290,0.11679183448148775,0.11183055432234211,223,193,AD
ANK3,ENSG00000151150,0.0589955779452108,0.04069590112600435,0.0813918022520087,2,1.259e-08,2,"rs6479689,rs7096706",0.18511067804359016,0.11125256792778442,224,212,AD
ZNF296,ENSG00000170684,0.0767818543718173,0.0767818543718173,0.0767818543718173,1,4.80452e-10,1,rs7251911,0.11679183448148775,0.10912915662817113,225,196,AD
L47234.1,ENSG00000268341,0.0764979788089845,0.0764979788089845,0.0764979788089845,1,3.58748e-08,1,rs60152947,0.11679183448148775,0.10885522736966263,226,198,AD
PPP1R13L,ENSG00000104881,0.0764979788089845,0.0764979788089845,0.0764979788089845,1,3.58748e-08,1,rs60152947,0.11679183448148775,0.10885522736966263,226,198,AD
CKM,ENSG00000104879,0.0764979788089845,0.0764979788089845,0.0764979788089845,1,3.58748e-08,1,rs60152947,0.11679183448148775,0.10885522736966263,226,198,AD
KLC3,ENSG00000104892,0.0764979788089845,0.0764979788089845,0.0764979788089845,1,3.58748e-08,1,rs60152947,0.11679183448148775,0.10885522736966263,226,198,AD
LRRC37A,ENSG00000176681,0.0114601445035993,0.010967766108803666,0.065806596652822,6,1.855e-08,6,"rs2696546,rs2732705,rs2532348,rs2668618,rs2696543",0.32787613138774163,0.1086957315664264,230,275,AD
MTCH2,ENSG00000109919,0.0195157988867575,0.01860623909738946,0.0930311954869473,5,5.247e-09,5,"rs149098008,rs199803861,rs10838738,rs11039327,rs12787646",0.30190251252507794,0.10831899202892702,231,261,AD
ZC3H4,ENSG00000130749,0.0733513430383803,0.0733513430383803,0.0733513430383803,1,8.87789e-09,1,rs141603377,0.11679183448148775,0.10581884200828662,232,204,AD
COX7C,ENSG00000127184,0.0373354910220439,0.024998313473975034,0.0749949404219251,3,7.16e-13,3,"rs2452760,rs10050684,rs2452761",0.2335836689629755,0.10479430341829757,233,228,AD
IRGQ,ENSG00000167378,0.0515592615932873,0.0441091779107798,0.0882183558215596,2,1.2735e-14,2,"rs368745,rs113927234",0.18511067804359016,0.10422921404447627,234,217,AD
CADM4,ENSG00000105767,0.0515592615932873,0.03716974336460685,0.0743394867292137,2,1.2735e-14,2,"rs368745,rs400058",0.18511067804359016,0.10422921404447627,234,217,AD
SORL1,ENSG00000137642,0.035102816455704,0.0343897415787498,0.1031692247362494,3,4.084e-08,3,"rs17125414,rs59569393,rs4936635",0.2335836689629755,0.10271808374699946,236,230,AD
PPOX,ENSG00000143224,0.0332359130373675,0.03179505699456504,0.0953851709836951,3,2.206e-08,3,"rs12041364,rs11591206,rs12741203",0.2335836689629755,0.10098200377367933,237,231,AD
PRR24,ENSG00000257704,0.0662717121008048,0.0662717121008048,0.0662717121008048,1,2.44191e-08,1,rs150403341,0.11679183448148775,0.09898726399610652,238,205,AD
C5AR1,ENSG00000197405,0.0662717121008048,0.0662717121008048,0.0662717121008048,1,2.44191e-08,1,rs150403341,0.11679183448148775,0.09898726399610652,238,205,AD
AGBL2,ENSG00000165923,0.0182110440510937,0.017876467430498526,0.0715058697219941,4,7.109e-09,4,"rs11039327,rs12787646,rs11602395,rs12787112",0.271182241736001,0.09808416304685538,240,264,AD
PSG11,ENSG00000243130,0.0637553393476375,0.0637553393476375,0.0637553393476375,1,3.30248e-08,1,rs150619356,0.11679183448148775,0.09655905877996371,241,207,AD
SNX31,ENSG00000174226,0.0592501020790675,0.0592501020790675,0.0592501020790675,1,2.237e-08,1,rs1693568,0.11679183448148775,0.09221167398900493,242,210,AD
PABPC1,ENSG00000070756,0.0592501020790675,0.0592501020790675,0.0592501020790675,1,2.237e-08,1,rs1693568,0.11679183448148775,0.09221167398900493,242,210,AD
CCDC8,ENSG00000169515,0.0562534610346956,0.0562534610346956,0.0562534610346956,1,1.19702e-11,1,rs200602713,0.11679183448148775,0.08932002790608942,244,213,AD
UFC1,ENSG00000143222,0.0332359130373675,0.0325007149163733,0.0650014298327466,2,2.206e-08,2,"rs12041364,rs11591206",0.18511067804359016,0.08692341973112108,245,231,AD
USP21,ENSG00000143258,0.0332359130373675,0.0325007149163733,0.0650014298327466,2,2.206e-08,2,"rs12041364,rs11591206",0.18511067804359016,0.08692341973112108,245,231,AD
DEDD,ENSG00000158796,0.0332359130373675,0.0325007149163733,0.0650014298327466,2,2.206e-08,2,"rs12041364,rs11591206",0.18511067804359016,0.08692341973112108,245,231,AD
B4GALT3,ENSG00000158850,0.0332359130373675,0.0325007149163733,0.0650014298327466,2,2.206e-08,2,"rs12041364,rs11591206",0.18511067804359016,0.08692341973112108,245,231,AD
NIT1,ENSG00000158793,0.0332359130373675,0.0325007149163733,0.0650014298327466,2,2.206e-08,2,"rs12041364,rs11591206",0.18511067804359016,0.08692341973112108,245,231,AD
PFDN2,ENSG00000143256,0.0332359130373675,0.0325007149163733,0.0650014298327466,2,2.206e-08,2,"rs12041364,rs11591206",0.18511067804359016,0.08692341973112108,245,231,AD
KLHDC9,ENSG00000162755,0.0332359130373675,0.0325007149163733,0.0650014298327466,2,2.206e-08,2,"rs12041364,rs11591206",0.18511067804359016,0.08692341973112108,245,231,AD
C16orf92,ENSG00000167194,0.0169522624082065,0.013115271738958165,0.0393458152168745,3,6.61e-11,3,"rs4238959,rs11544328,rs4318227",0.2335836689629755,0.08583943160193955,252,268,AD
ZNF576,ENSG00000124444,0.0515592615932873,0.0515592615932873,0.0515592615932873,1,1.2735e-14,1,rs368745,0.11679183448148775,0.08479030171393634,253,217,AD
SRRM5,ENSG00000226763,0.0515592615932873,0.0515592615932873,0.0515592615932873,1,1.2735e-14,1,rs368745,0.11679183448148775,0.08479030171393634,253,217,AD
ZNF428,ENSG00000131116,0.0515592615932873,0.0515592615932873,0.0515592615932873,1,1.2735e-14,1,rs368745,0.11679183448148775,0.08479030171393634,253,217,AD
XRCC1,ENSG00000073050,0.0515592615932873,0.0515592615932873,0.0515592615932873,1,1.2735e-14,1,rs368745,0.11679183448148775,0.08479030171393634,253,217,AD
L34079.2,ENSG00000268361,0.0515592615932873,0.0515592615932873,0.0515592615932873,1,1.2735e-14,1,rs368745,0.11679183448148775,0.08479030171393634,253,217,AD
PINLYP,ENSG00000234465,0.0515592615932873,0.0515592615932873,0.0515592615932873,1,1.2735e-14,1,rs368745,0.11679183448148775,0.08479030171393634,253,217,AD
MS4A6E,ENSG00000166926,0.0265087281503444,0.025875541040861802,0.051751082081723604,2,1.169e-14,2,"rs11827324,rs10792263",0.18511067804359016,0.08056981697082641,259,249,AD
TP53INP1,ENSG00000164938,0.0110088072341789,0.010705530559578734,0.0321165916787362,3,2.602e-08,3,"rs896853,rs896852,rs4735333",0.2335836689629755,0.08031246464767185,260,276,AD
ADAMTS1,ENSG00000154734,0.046739189727421,0.046739189727421,0.046739189727421,1,1.414e-08,1,rs11702792,0.11679183448148775,0.08013911335873419,261,226,AD
TAOK2,ENSG00000149930,0.0104045147148528,0.010061230507654466,0.0301836915229634,3,9.452e-10,3,"rs4318227,rs11642046,rs11150579",0.2335836689629755,0.07975051798748309,262,285,AD
AC006126.3,ENSG00000266958,0.0443267242597251,0.0443267242597251,0.0443267242597251,1,9.96644e-09,1,rs620807,0.11679183448148775,0.07781117477131691,263,227,AD
ATP8B3,ENSG00000130270,0.0226114915980304,0.0208566922934078,0.0417133845868156,2,2.114e-08,2,"rs11668832,rs35917007",0.18511067804359016,0.07688900644872093,264,256,AD
NUP88,ENSG00000108559,0.016998289585271,0.0168494175804568,0.0336988351609136,2,7.309e-11,2,"rs75367124,rs148116771",0.18511067804359016,0.0715875235251348,265,267,AD
SLC24A4,ENSG00000140090,0.0116096926643034,0.01151069477331735,0.0230213895466347,2,2.54389e-09,2,"rs12897935,rs12878453",0.18511067804359016,0.06649817265309037,266,274,AD
TMEM219,ENSG00000149932,0.0104045147148528,0.01016179081043075,0.0203235816208615,2,1.025e-09,2,"rs4318227,rs9925102",0.18511067804359016,0.06535992209585557,267,285,AD
STH,ENSG00000256762,0.0103911039584331,0.010369571943835,0.02073914388767,2,2.173e-08,2,"rs62063857,rs79772576",0.18511067804359016,0.06534725608170004,268,290,AD
AC004528.1,ENSG00000269169,0.0301014358080043,0.0301014358080043,0.0301014358080043,1,8.04312e-10,1,rs3795065,0.11679183448148775,0.06408430557988756,269,241,AD
WDR18,ENSG00000065268,0.0301014358080043,0.0301014358080043,0.0301014358080043,1,8.04312e-10,1,rs3795065,0.11679183448148775,0.06408430557988756,269,241,AD
GRIN3B,ENSG00000116032,0.0301014358080043,0.0301014358080043,0.0301014358080043,1,8.04312e-10,1,rs3795065,0.11679183448148775,0.06408430557988756,269,241,AD
CNN2,ENSG00000064666,0.0301014358080043,0.0301014358080043,0.0301014358080043,1,8.04312e-10,1,rs3795065,0.11679183448148775,0.06408430557988756,269,241,AD
ACE,ENSG00000264813,0.0273875312335523,0.0273875312335523,0.0273875312335523,1,1.939e-15,1,rs4968782,0.11679183448148775,0.061465489573592935,273,248,AD
MS4A14,ENSG00000166928,0.0265087281503444,0.0265087281503444,0.0265087281503444,1,1.169e-14,1,rs11827324,0.11679183448148775,0.06061747759765579,274,249,AD
MS4A7,ENSG00000166927,0.0265087281503444,0.0265087281503444,0.0265087281503444,1,1.169e-14,1,rs11827324,0.11679183448148775,0.06061747759765579,274,249,AD
LYPD5,ENSG00000159871,0.0244239538665649,0.0244239538665649,0.0244239538665649,1,1.47809e-11,1,rs8100565,0.11679183448148775,0.058605748697801024,276,254,AD
C6orf10,ENSG00000204296,0.001939253808692,0.00174262505536645,0.0034852501107329,2,7.41001e-09,2,"rs3763313,rs28732208",0.18511067804359016,0.05736476424554137,277,294,AD
PPP4C,ENSG00000149923,0.0230364311422018,0.0230364311422018,0.0230364311422018,1,5.002e-11,1,rs2278557,0.11679183448148775,0.05726684137074686,278,255,AD
ONECUT3,ENSG00000205922,0.0226114915980304,0.0226114915980304,0.0226114915980304,1,2.114e-08,1,rs11668832,0.11679183448148775,0.056856790667247706,279,256,AD
ABHD17A,ENSG00000129968,0.0191018929887852,0.0191018929887852,0.0191018929887852,1,3.181e-08,1,rs35917007,0.11679183448148775,0.05347015979596273,280,262,AD
NUP160,ENSG00000030066,0.0189445521780345,0.0189445521780345,0.0189445521780345,1,7.887e-09,1,rs34467936,0.11679183448148775,0.05331833182178995,281,263,AD
ZNF232,ENSG00000167840,0.0173473730266414,0.0173473730266414,0.0173473730266414,1,1.853e-10,1,rs112362507,0.11679183448148775,0.05177711391532289,282,266,AD
TREML1,ENSG00000161911,0.0117349946539646,0.0117349946539646,0.0117349946539646,1,1.606e-10,1,rs9357347,0.11679183448148775,0.04636137953243083,283,273,AD
BCKDK,ENSG00000103507,0.0107053612763335,0.0107053612763335,0.0107053612763335,1,9.697e-10,1,rs7190802,0.11679183448148775,0.045367821986104805,284,278,AD
KAT8,ENSG00000103510,0.0107053612763335,0.0107053612763335,0.0107053612763335,1,9.697e-10,1,rs7190802,0.11679183448148775,0.045367821986104805,284,278,AD
